Contrast,Dissimilarity,Energy,ASM,Correlation,Deepfake
[60.96771222],[4.35688846],[0.03277393],[0.0010806],[0.9832213],0
[98.62781883],[6.15240018],[0.01835923],[0.00034094],[0.98057123],0
[41.48787994],[3.9500078],[0.02611968],[0.00068855],[0.98851426],0
[61.35568442],[5.08396694],[0.02027772],[0.00041535],[0.987832],0
[82.91345824],[5.61427979],[0.02044193],[0.00042166],[0.98429417],0
[146.75851509],[7.26632395],[0.01664402],[0.00028006],[0.9755764],0
[113.23124763],[6.70580747],[0.01709466],[0.00029497],[0.97770741],0
[127.44868279],[7.02547527],[0.01695162],[0.00028976],[0.97494463],0
[89.24617694],[5.85616831],[0.01889696],[0.00036074],[0.98001339],0
[75.58834206],[5.58743531],[0.01891021],[0.00036145],[0.98479581],0
[131.20480651],[6.77963097],[0.01852134],[0.00034809],[0.9772115],0
[125.76420348],[6.70886328],[0.01924495],[0.00037521],[0.97747985],0
[77.99917959],[5.4244537],[0.02120374],[0.00045346],[0.98510468],0
[46.17285017],[4.08322003],[0.02608555],[0.00068653],[0.98791431],0
[74.76441951],[5.46540284],[0.01938765],[0.00038004],[0.98697743],0
[75.73239318],[5.36958153],[0.02047302],[0.00042266],[0.98552498],0
[132.27836615],[6.90357709],[0.01830107],[0.00033858],[0.9774092],0
[104.59262395],[6.34509766],[0.01840748],[0.00034222],[0.97999247],0
[169.14596888],[7.89197907],[0.01691551],[0.00029051],[0.97106378],0
[97.76069684],[6.0998133],[0.0190358],[0.0003654],[0.98165268],0
[87.6895638],[5.88874405],[0.0193991],[0.00037992],[0.98346462],0
[139.77236727],[6.99296395],[0.01791228],[0.00032426],[0.97672123],0
[109.00506851],[6.2740822],[0.01953016],[0.00038502],[0.98037942],0
[94.23869309],[6.17959171],[0.0186323],[0.00035025],[0.98333183],0
[48.49360478],[4.0890455],[0.02638307],[0.00070284],[0.986964],0
[79.98873341],[5.61880871],[0.02010271],[0.00040773],[0.98547769],0
[81.33401053],[5.58358113],[0.01936124],[0.00037818],[0.98470314],0
[84.82436624],[5.69756267],[0.01967061],[0.00039008],[0.9843107],0
[124.18481414],[6.46666573],[0.01914447],[0.00037447],[0.9811502],0
[87.69477157],[5.61907427],[0.02002693],[0.00040448],[0.98402562],0
[92.90511656],[5.83204845],[0.01933193],[0.0003781],[0.98260677],0
[78.87606817],[5.23049793],[0.02120783],[0.00045285],[0.98708235],0
[82.84240828],[5.43718564],[0.01990898],[0.0004],[0.98613358],0
[72.94012023],[5.29108986],[0.02043547],[0.00042087],[0.98761026],0
[135.41507303],[7.11513362],[0.01835974],[0.0003415],[0.9770131],0
[49.13867563],[4.13352429],[0.02614565],[0.00068933],[0.98669879],0
[136.43497519],[6.52207059],[0.02075161],[0.00043915],[0.972702],0
[77.02221893],[5.32140876],[0.0214029],[0.00046135],[0.98613011],0
[93.20896064],[6.07449715],[0.01895418],[0.00036304],[0.98224168],0
[135.50104177],[7.0763167],[0.01775597],[0.00031863],[0.97630062],0
[89.44088094],[5.93175215],[0.01945746],[0.0003811],[0.98140322],0
[121.47325966],[6.64090315],[0.01913664],[0.00036887],[0.98189884],0
[121.38149342],[6.66381099],[0.01750474],[0.00030907],[0.97757057],0
[87.34545743],[4.72722174],[0.04402421],[0.00195082],[0.96249111],0
[105.78119636],[5.58197446],[0.03157235],[0.00100447],[0.97473619],0
[106.26371208],[5.64874568],[0.02911442],[0.00085443],[0.97536966],0
[50.40419503],[4.16531049],[0.02624816],[0.00069486],[0.98579625],0
[182.37963354],[6.58148173],[0.02418922],[0.00058992],[0.93540121],0
[73.88478028],[4.27008513],[0.02766517],[0.00077204],[0.98768768],0
[106.34322276],[5.66521217],[0.0293382],[0.00086633],[0.9749136],0
[94.0388633],[5.43100973],[0.02939542],[0.00087024],[0.97753312],0
[86.14199893],[5.29663862],[0.02809101],[0.00079568],[0.97934499],0
[79.96604258],[4.97726969],[0.0308395],[0.00095894],[0.9743128],0
[98.67794435],[5.51805354],[0.02535048],[0.00064906],[0.97464293],0
[96.64840698],[5.27716235],[0.02518471],[0.00063944],[0.97685599],0
[85.81763087],[4.70594952],[0.03200169],[0.00103194],[0.96403713],0
[112.09906881],[5.58697249],[0.02719282],[0.00074629],[0.97389453],0
[81.5912861],[4.91169378],[0.02792993],[0.00078735],[0.97824095],0
[71.45411192],[4.61451326],[0.03096269],[0.00096803],[0.98065292],0
[47.84506096],[4.09957147],[0.025917],[0.00067747],[0.98656549],0
[91.8930137],[5.15666874],[0.0302668],[0.00092264],[0.97612712],0
[67.13984394],[4.42365121],[0.02904067],[0.00085038],[0.98164057],0
[73.8949535],[4.67557139],[0.0296997],[0.00088971],[0.97929175],0
[57.39040582],[4.26521425],[0.03245213],[0.00106321],[0.98448504],0
[41.16894731],[3.58730816],[0.03800632],[0.00145863],[0.98677964],0
[54.99915113],[4.09432302],[0.03550456],[0.00126737],[0.98623812],0
[59.76199121],[4.11854521],[0.03642748],[0.0013349],[0.98814457],0
[49.31427778],[3.53897592],[0.05808198],[0.00338288],[0.9824207],0
[64.15933003],[4.29443508],[0.03977016],[0.00159245],[0.98574625],0
[34.22888787],[3.22097777],[0.04585883],[0.00212524],[0.98312405],0
[45.28771351],[4.01144411],[0.02556838],[0.00065893],[0.98744867],0
[83.87737259],[5.11599267],[0.0246987],[0.00061479],[0.97984852],0
[50.08291318],[4.02672072],[0.02748957],[0.00076189],[0.98316905],0
[85.74763818],[4.93975719],[0.03102836],[0.00096882],[0.97899002],0
[94.02063623],[5.36281637],[0.02660914],[0.00071321],[0.97966018],0
[67.8107066],[4.09167493],[0.03521449],[0.00124883],[0.98228596],0
[93.1187633],[5.41722124],[0.02553881],[0.00065685],[0.9799291],0
[87.3708558],[5.08993929],[0.02742399],[0.00075823],[0.97781686],0
[89.25308862],[4.94724492],[0.02875613],[0.00083372],[0.97725391],0
[88.50893686],[5.02089489],[0.03359416],[0.00113725],[0.97497559],0
[80.99486138],[4.73985244],[0.03073348],[0.00095082],[0.97996966],0
[44.86313727],[3.96942365],[0.0266824],[0.00071832],[0.98817773],0
[88.29058974],[5.09516728],[0.0281545],[0.00079933],[0.97382507],0
[90.17546047],[4.81526978],[0.02821331],[0.00080172],[0.97546611],0
[80.06666164],[4.6154894],[0.04074683],[0.00166837],[0.97593539],0
[72.88833935],[4.92613908],[0.02630946],[0.00069799],[0.98273228],0
[57.62661539],[4.16174525],[0.03524509],[0.00124942],[0.9794684],0
[80.24093938],[4.84873798],[0.02773013],[0.00077461],[0.97945112],0
[91.50397854],[5.14058782],[0.02841771],[0.00081353],[0.97819947],0
[75.0964751],[4.34221041],[0.03822835],[0.00146924],[0.96652186],0
[86.1109181],[4.97470649],[0.03358178],[0.00113789],[0.96766424],0
[93.01842058],[5.69019919],[0.02884958],[0.00083849],[0.97581224],0
[41.51832382],[3.95198151],[0.02640071],[0.00070272],[0.98825862],0
[77.53696297],[4.7320885],[0.03230103],[0.00105222],[0.96535306],0
[67.66582805],[4.52650021],[0.03138905],[0.00099349],[0.97095178],0
[108.02533977],[5.6339308],[0.02996355],[0.0009043],[0.97358276],0
[94.45118943],[5.20295184],[0.0309704],[0.00096569],[0.97669581],0
[93.80424248],[5.44195323],[0.03026912],[0.00092253],[0.97702736],0
[154.06659952],[5.40278599],[0.03543214],[0.00126757],[0.96499907],0
[154.60498704],[5.55598805],[0.03313762],[0.00110656],[0.9644066],0
[131.65554281],[5.49318338],[0.02751197],[0.00076308],[0.96664099],0
[131.18730274],[4.8767182],[0.04710821],[0.00223294],[0.97398184],0
[149.19768279],[5.19013452],[0.04352871],[0.00190685],[0.97132305],0
[50.12684414],[4.23020658],[0.02661441],[0.00071462],[0.98586648],0
[124.7165427],[4.39137942],[0.05848112],[0.00343066],[0.97843241],0
[80.5438973],[3.64694126],[0.079002],[0.00626018],[0.98578423],0
[123.91413552],[4.45026876],[0.05246882],[0.00276304],[0.97082812],0
[111.58632088],[4.01085462],[0.06320498],[0.00400545],[0.97967419],0
[128.06068734],[4.36968894],[0.05833585],[0.00341043],[0.97610814],0
[95.35203065],[3.98330453],[0.06133749],[0.00377456],[0.98151753],0
[102.71542367],[4.72575492],[0.03452971],[0.00119971],[0.97055791],0
[93.00993637],[4.7710913],[0.02912586],[0.00085396],[0.97379539],0
[88.71723027],[3.62158927],[0.07902801],[0.00627677],[0.98519913],0
[100.91139359],[4.14377005],[0.04620956],[0.00214897],[0.98057322],0
[44.49226488],[4.04198462],[0.0271287],[0.00074239],[0.98701474],0
[117.85333616],[4.20826169],[0.06374508],[0.00407752],[0.97929268],0
[99.19048146],[3.95173932],[0.05883331],[0.00347477],[0.98141344],0
[116.59003944],[3.95098357],[0.0831132],[0.00692443],[0.98215168],0
[116.62263455],[5.29235262],[0.02904577],[0.00084938],[0.96786991],0
[106.12934679],[5.00577231],[0.02896186],[0.00084451],[0.97032951],0
[122.61846976],[4.39934268],[0.06866943],[0.00474714],[0.97859695],0
[120.63379094],[4.22954529],[0.06963462],[0.00487505],[0.97922667],0
[114.61262722],[4.48512711],[0.05973657],[0.00358423],[0.97812927],0
[109.41381959],[4.90102818],[0.03094846],[0.00096292],[0.97242671],0
[118.48685573],[4.40011562],[0.0555098],[0.0030942],[0.97913473],0
[43.48777689],[3.95875744],[0.0273782],[0.00075584],[0.98725892],0
[117.97964156],[4.29297057],[0.05272473],[0.00279306],[0.9781344],0
[116.25278661],[4.2789388],[0.0538579],[0.00291282],[0.97848027],0
[150.83174571],[5.13361899],[0.0511258],[0.00262964],[0.97263708],0
[156.32147646],[5.33378639],[0.04314066],[0.0018762],[0.96824805],0
[145.65058377],[5.46183941],[0.03598592],[0.00130492],[0.96786928],0
[115.45970428],[4.53764667],[0.05020142],[0.00253043],[0.97781346],0
[126.73312071],[4.96467979],[0.0356517],[0.00127624],[0.97223889],0
[91.98353146],[4.18583617],[0.04588195],[0.00211464],[0.98166465],0
[107.82150673],[4.93512438],[0.04753263],[0.0022701],[0.97744632],0
[45.11080936],[3.99910887],[0.02737238],[0.00075494],[0.98761965],0
[12.36057092],[2.19388747],[0.04280723],[0.001844],[0.9892935],0
[24.83025226],[2.96052203],[0.05031861],[0.00255204],[0.97876002],0
[25.43576727],[3.08780586],[0.04393863],[0.00194229],[0.98087116],0
[33.42951143],[3.42357855],[0.04267435],[0.00183173],[0.97784723],0
[35.69102057],[3.45741403],[0.04170561],[0.00175049],[0.97562364],0
[41.73640478],[3.63463133],[0.04708922],[0.00223201],[0.97391457],0
[43.69913144],[3.85945141],[0.02761204],[0.00076855],[0.98796262],0
[38.88107516],[3.52430344],[0.04569077],[0.00210038],[0.97428815],0
[32.26085983],[3.22161472],[0.04608515],[0.00213864],[0.97367748],0
[36.97373023],[3.53552498],[0.0443783],[0.00198196],[0.97325557],0
[35.9011224],[3.48724541],[0.04474255],[0.00201391],[0.97434969],0
[27.92904546],[3.06821225],[0.04926741],[0.00244158],[0.97567889],0
[29.17741868],[3.0550193],[0.04967076],[0.00248169],[0.97483741],0
[30.30304547],[3.11066078],[0.04920555],[0.00243475],[0.97496783],0
[20.96686554],[2.72672259],[0.04966816],[0.00248331],[0.98299104],0
[27.99039979],[3.09700489],[0.03970797],[0.00158908],[0.99221737],0
[38.2234017],[3.47829923],[0.04102565],[0.00169156],[0.99136698],0
[40.13674236],[3.86298203],[0.02611777],[0.00068792],[0.98847029],0
[206.63999798],[7.31174873],[0.02237564],[0.0005046],[0.94342832],0
[80.24384503],[4.61977213],[0.0270792],[0.00073903],[0.98596796],0
[52.28198722],[3.63204089],[0.04230412],[0.00180079],[0.99259158],0
[49.74429563],[3.652061],[0.04018121],[0.00162353],[0.99201627],0
[56.56249649],[3.96542585],[0.03688509],[0.00136804],[0.99078854],0
[41.27416164],[3.36680848],[0.03904611],[0.0015378],[0.99226228],0
[42.73810918],[3.79092311],[0.03885024],[0.00151668],[0.99173963],0
[59.19225681],[4.29834048],[0.03130584],[0.00098639],[0.98871461],0
[62.12252569],[4.11817139],[0.04003573],[0.00161328],[0.9906202],0
[44.38657864],[3.81027756],[0.03704999],[0.00138478],[0.98793644],0
[26.2490574],[3.25849426],[0.02950486],[0.00087848],[0.98953296],0
[71.31316481],[4.76263035],[0.03028618],[0.00092297],[0.98636111],0
[62.79117729],[4.48988018],[0.0308915],[0.00096012],[0.98746429],0
[40.32536454],[3.65133988],[0.038292],[0.00147402],[0.99110715],0
[48.82801166],[3.75050278],[0.03759091],[0.00142171],[0.99110832],0
[46.3805208],[3.85559554],[0.03507922],[0.0012375],[0.99099829],0
[31.87903764],[3.21145058],[0.04002776],[0.00161493],[0.99048704],0
[61.51563929],[4.09693162],[0.03704264],[0.00138131],[0.98850677],0
[26.93849321],[2.79245168],[0.04461474],[0.00200223],[0.9913635],0
[41.88018307],[3.8634532],[0.02593031],[0.00067777],[0.9892957],0
[39.16281644],[3.67488031],[0.03619063],[0.00131866],[0.99111634],0
[52.41348064],[4.01700656],[0.0362974],[0.00132471],[0.98946345],0
[38.36974864],[3.65265472],[0.03438212],[0.00119127],[0.99041785],0
[34.39025905],[3.39959758],[0.03566043],[0.00128031],[0.99191102],0
[32.82323329],[3.27611997],[0.03673071],[0.00135904],[0.99088611],0
[33.49749553],[3.27545783],[0.03922359],[0.00155006],[0.99292847],0
[33.70968357],[3.16981991],[0.04039243],[0.00164235],[0.99258736],0
[47.77796],[3.82027363],[0.03846629],[0.00148888],[0.99091263],0
[34.45122637],[3.34787071],[0.03972915],[0.00159027],[0.99139507],0
[34.53998887],[3.2443902],[0.03983059],[0.00159655],[0.9916929],0
[48.42333249],[3.87805084],[0.03457648],[0.00120283],[0.98838624],0
[35.90199258],[3.30181999],[0.04420918],[0.00196917],[0.9898874],0
[84.40388298],[4.76587457],[0.03266764],[0.00107626],[0.96526913],0
[30.91095583],[3.17663896],[0.03979206],[0.00159221],[0.99254105],0
[43.47192363],[3.77210353],[0.03465276],[0.00120759],[0.99130862],0
[70.19635294],[5.0867096],[0.02819491],[0.00080278],[0.99063579],0
[93.41351818],[5.69840391],[0.0267582],[0.00072096],[0.98788047],0
[67.73729518],[5.24942735],[0.02102211],[0.00044583],[0.98446641],0
[74.63631066],[5.36904193],[0.02752792],[0.00076442],[0.98878467],0
[92.24205926],[5.10567764],[0.02845294],[0.00081651],[0.9717268],0
[73.65537849],[5.4061174],[0.02962842],[0.00088424],[0.98933198],0
[96.65562152],[5.84586842],[0.02466608],[0.00061304],[0.9867641],0
[91.80034132],[5.71803106],[0.03123865],[0.00098203],[0.98719149],0
[67.71120427],[4.98408062],[0.0253951],[0.00064918],[0.99050517],0
[89.21476274],[5.69722663],[0.02983215],[0.00089655],[0.98706155],0
[72.23177402],[5.18198405],[0.02570017],[0.00066537],[0.99031508],0
[76.76486538],[5.31216396],[0.0305322],[0.00093921],[0.98909747],0
[105.05545475],[5.98241497],[0.02952031],[0.00087644],[0.9857537],0
[73.96581492],[5.20806685],[0.02602614],[0.00068263],[0.98992824],0
[70.3670325],[5.26857897],[0.0270492],[0.00073732],[0.99005024],0
[64.17675678],[4.47991269],[0.03012556],[0.00091478],[0.97870701],0
[79.79566333],[5.43763441],[0.02822928],[0.00080257],[0.98883487],0
[92.58893821],[5.76752763],[0.02623443],[0.0006931],[0.98747126],0
[79.89759239],[5.50548762],[0.02490811],[0.00062559],[0.98835481],0
[73.3916348],[5.26370094],[0.03244051],[0.00105961],[0.98845016],0
[70.17957064],[5.0644042],[0.03362739],[0.00113628],[0.98969106],0
[89.26469669],[5.75425597],[0.02317913],[0.00054173],[0.98798705],0
[83.41063506],[5.58025771],[0.02811098],[0.00079662],[0.98843107],0
[71.16459471],[5.12344285],[0.02819331],[0.00080107],[0.99024595],0
[87.84035428],[5.6188741],[0.02327677],[0.00054657],[0.98874914],0
[92.35528747],[5.72454713],[0.02308468],[0.00053803],[0.98651457],0
[58.88582253],[4.05672684],[0.03096671],[0.00096528],[0.98073706],0
[65.43848413],[5.26721896],[0.02024334],[0.00041393],[0.98599493],0
[69.12702033],[5.12372101],[0.02330413],[0.00054795],[0.98874587],0
[73.38246411],[5.18152389],[0.02988442],[0.00090017],[0.98981235],0
[64.05432192],[4.876244],[0.03203855],[0.00103298],[0.99053146],0
[67.08079197],[5.15302842],[0.0275425],[0.00076379],[0.99036498],0
[78.96362567],[5.23414843],[0.0304271],[0.00093096],[0.98906019],0
[98.59194509],[6.02311043],[0.02626579],[0.00069452],[0.98618822],0
[82.85831785],[5.55565819],[0.02750489],[0.00076231],[0.98759839],0
[70.02786675],[5.13879975],[0.03366793],[0.00114294],[0.98868696],0
[123.12886036],[6.50206526],[0.02236252],[0.00053515],[0.98005121],0
[100.74677067],[5.29475271],[0.02652465],[0.00070901],[0.9676765],0
[64.18121752],[4.95689502],[0.02488859],[0.0006238],[0.99024724],0
[91.42597766],[5.78885228],[0.02322513],[0.00054386],[0.98553328],0
[121.75963981],[6.37243935],[0.02122508],[0.00045363],[0.98267132],0
[88.57908818],[5.8510757],[0.02222528],[0.00049764],[0.98388705],0
[72.3111808],[5.25502177],[0.0259573],[0.00067844],[0.98569226],0
[82.30934611],[5.48756159],[0.02424349],[0.00059203],[0.98520747],0
[107.21706813],[6.12380202],[0.0216377],[0.00047162],[0.98226125],0
[97.57756736],[6.01142607],[0.01993533],[0.00040045],[0.98352783],0
[75.96658351],[5.44498688],[0.02317886],[0.00054066],[0.98411731],0
[108.44225136],[6.15383236],[0.02311584],[0.00053813],[0.98142169],0
[115.13331262],[5.56989351],[0.02673146],[0.00071988],[0.96506242],0
[62.37710304],[4.84407853],[0.0322757],[0.00104766],[0.98789691],0
[73.83973283],[5.23125344],[0.02712588],[0.00073992],[0.98469432],0
[64.75643312],[4.87801463],[0.02786223],[0.00078084],[0.98861461],0
[59.9224089],[4.72378255],[0.0242951],[0.00059416],[0.99077247],0
[72.27220731],[5.15434725],[0.02589674],[0.00067534],[0.98771678],0
[131.58368975],[6.70191527],[0.02331143],[0.00054712],[0.98298256],0
[111.69518547],[6.15908953],[0.02421332],[0.00059188],[0.98735482],0
[107.8762555],[5.87009763],[0.02710732],[0.00073898],[0.98787023],0
[75.95049169],[5.04603776],[0.02577966],[0.00066901],[0.99098966],0
[67.74525057],[4.78656179],[0.03468936],[0.00121],[0.99021745],0
[79.10422511],[4.97693063],[0.02783389],[0.00078147],[0.96678222],0
[89.55505224],[5.03758636],[0.02593265],[0.00067813],[0.98646262],0
[160.32967173],[6.35353064],[0.02264089],[0.00051624],[0.95405103],0
[119.73729252],[6.55001703],[0.02075724],[0.00043414],[0.9829989],0
[86.1461286],[5.75533552],[0.02215089],[0.00049399],[0.98396218],0
[126.05311074],[6.78969691],[0.01871592],[0.00035282],[0.97841668],0
[101.05195901],[6.20241587],[0.02001559],[0.00040353],[0.98065184],0
[98.69846046],[6.0871172],[0.02046574],[0.0004222],[0.98123155],0
[117.13422022],[6.60756428],[0.01957554],[0.00038648],[0.97833376],0
[61.1269593],[4.79930487],[0.02645264],[0.00070403],[0.98497387],0
[73.68831956],[5.39779401],[0.02215174],[0.00049446],[0.98379475],0
[63.98833804],[4.95835856],[0.02368064],[0.00056482],[0.98693946],0
[60.26124721],[4.77983925],[0.02518988],[0.00063942],[0.98765421],0
[79.52141184],[4.71202081],[0.02861959],[0.00082496],[0.97290258],0
[52.64126668],[4.56183992],[0.02367663],[0.00056493],[0.98993068],0
[74.48653701],[5.37374668],[0.02098091],[0.0004437],[0.98772222],0
[91.77092032],[5.82499533],[0.02111832],[0.00045012],[0.98453281],0
[47.4373559],[4.1958148],[0.02594142],[0.00067819],[0.99111325],0
[56.07073669],[4.60143063],[0.02704277],[0.00073586],[0.98841147],0
[75.90622409],[5.15888258],[0.02684798],[0.00072584],[0.97095648],0
[42.27071385],[3.33546911],[0.03485605],[0.00122817],[0.99037613],0
[59.89522585],[4.59917501],[0.0323154],[0.00105089],[0.96717084],0
[70.82814098],[5.03062031],[0.02688086],[0.00072676],[0.97584632],0
[46.777061],[3.96847911],[0.0327524],[0.00108072],[0.97422956],0
[50.68042327],[4.14281026],[0.03335989],[0.00112148],[0.96770898],0
[76.79082296],[4.21711475],[0.03588308],[0.00129696],[0.98110445],0
[62.14634354],[4.19167435],[0.0348298],[0.00122248],[0.96282018],0
[85.40093979],[4.80752909],[0.03141151],[0.00099386],[0.98166042],0
[123.26552909],[5.91665658],[0.02522914],[0.00064092],[0.95809144],0
[57.89004956],[4.11151425],[0.03562076],[0.00127769],[0.95918071],0
[88.82056377],[4.93258976],[0.02930671],[0.00086747],[0.97867271],0
[72.25675729],[4.34998707],[0.0350695],[0.00123813],[0.94560507],0
[75.20650776],[4.96190904],[0.03107749],[0.00097422],[0.95688163],0
[75.22277541],[3.97629125],[0.03949631],[0.00156906],[0.98505086],0
[89.31907504],[5.19212688],[0.03288789],[0.00108821],[0.95513912],0
[122.04638699],[5.31245108],[0.03036471],[0.00092803],[0.97268025],0
[76.30054681],[4.88513169],[0.03368444],[0.00113991],[0.96115185],0
[57.81820922],[3.637676],[0.04628881],[0.00215484],[0.98631154],0
[84.16843193],[4.99961698],[0.03546598],[0.00126729],[0.95451899],0
[58.72925188],[3.60291742],[0.0468339],[0.00220359],[0.9867963],0
[79.65785001],[4.98702127],[0.03370598],[0.00114386],[0.95259515],0
[84.04063709],[4.37801536],[0.03181769],[0.00102004],[0.98382886],0
[80.46658847],[4.87460378],[0.03197435],[0.0010308],[0.94947365],0
[69.25056139],[3.98022559],[0.0358792],[0.00129478],[0.98540766],0
[77.5912287],[4.7717997],[0.03352975],[0.00113199],[0.94777016],0
[41.92094597],[3.45014318],[0.03345859],[0.00112966],[0.99066878],0
[93.07303699],[4.89223301],[0.03849866],[0.00149192],[0.93471588],0
[53.28468628],[3.74859107],[0.03553393],[0.00127077],[0.98873184],0
[83.50340734],[4.97082434],[0.03000626],[0.00090909],[0.96774315],0
[93.6466085],[4.95573336],[0.03702212],[0.00138046],[0.93797968],0
[78.84246979],[4.38593333],[0.04237767],[0.00180724],[0.93444294],0
[79.37924531],[4.39455402],[0.04129055],[0.00171644],[0.92953958],0
[46.89939087],[3.56940054],[0.03813223],[0.00146459],[0.98717069],0
[60.46976319],[3.95103988],[0.04538299],[0.00207307],[0.93893348],0
[59.39164497],[3.78822489],[0.04878629],[0.0023932],[0.9391049],0
[42.74277408],[3.47320408],[0.05798908],[0.00338732],[0.95173142],0
[43.80134107],[3.2722446],[0.04470256],[0.0020214],[0.99146508],0
