Contrast,Dissimilarity,Energy,ASM,Correlation
[988.07222058],[20.39728942],[0.01842329],[0.0003395],[0.576831]
[986.84513146],[20.69080425],[0.01739481],[0.00030265],[0.57268958]
[1052.94121222],[21.50687329],[0.01724834],[0.00029758],[0.55487699]
[1194.70359533],[22.84563195],[0.01747037],[0.00030653],[0.62708164]
[1237.9935136],[23.80250369],[0.02195388],[0.00048863],[0.76747684]
[1168.87576886],[23.35594279],[0.01565775],[0.00024527],[0.55825702]
[1031.62373174],[21.45109901],[0.01812391],[0.00033014],[0.56389541]
[971.18293543],[21.4828327],[0.01566316],[0.00024564],[0.71206755]
[950.56127058],[20.69916971],[0.01918005],[0.00037768],[0.75957301]
[1422.89336169],[25.1478223],[0.01303836],[0.00017011],[0.64567121]
[1497.27631146],[26.04465255],[0.01219422],[0.00014902],[0.59446931]
[1338.01615599],[25.06401992],[0.0120391],[0.00014512],[0.69293776]
[1103.3576378],[22.82416026],[0.01341472],[0.00018074],[0.76414362]
[1435.40263302],[25.22291427],[0.01291773],[0.0001671],[0.66226813]
[1128.46969008],[23.38692095],[0.01284621],[0.00016531],[0.7587599]
[1439.0893461],[25.65718346],[0.0123884],[0.00015463],[0.59547844]
[1391.93710495],[25.29907162],[0.01180811],[0.00013972],[0.63211601]
[1637.46772297],[26.65097687],[0.01297541],[0.00016861],[0.6534571]
[1686.50404617],[27.51857236],[0.01227231],[0.00015081],[0.64401918]
[1653.68301531],[27.10642581],[0.01189612],[0.00014185],[0.65587723]
[1342.27133588],[24.74565573],[0.01327685],[0.00017683],[0.69230298]
[1194.13584856],[23.72583499],[0.01254423],[0.00015762],[0.76901098]
[1325.91433795],[24.80540574],[0.01317435],[0.00017379],[0.69426053]
[1446.81021676],[25.15486384],[0.01378196],[0.00019008],[0.62419336]
[1143.89479033],[23.20117594],[0.01217963],[0.0001485],[0.76538739]
[1561.96274768],[26.69456405],[0.0136497],[0.00018672],[0.61907814]
[1212.22624399],[23.18214158],[0.01345011],[0.00018133],[0.7308346]
[387.80361127],[13.67917393],[0.02957474],[0.00087678],[0.79690753]
[374.9553185],[13.3778215],[0.02698975],[0.00072995],[0.79719613]
[318.48434389],[11.91504246],[0.03762731],[0.00142047],[0.85404388]
[449.21275526],[14.45022305],[0.02192021],[0.00048115],[0.65406996]
[404.13749633],[13.72772865],[0.02130886],[0.00045444],[0.6464173]
[378.81071645],[13.60676583],[0.02445301],[0.00059855],[0.7792292]
[477.88791835],[13.48166781],[0.02485633],[0.00061823],[0.72024868]
[457.63797274],[13.47168827],[0.0231628],[0.00053707],[0.70797564]
[400.51841136],[13.78673389],[0.02553623],[0.00065289],[0.7854085]
[372.44490542],[13.13312129],[0.02838324],[0.00080707],[0.7629172]
[368.09043316],[13.24590915],[0.02756149],[0.00076006],[0.80466401]
[418.32108783],[14.41408874],[0.02127783],[0.00045354],[0.64463786]
[539.3409179],[15.77231116],[0.02088053],[0.00043624],[0.54686429]
[365.81000602],[12.91337017],[0.03177932],[0.00101361],[0.8126825]
[322.2833499],[12.38739691],[0.02895929],[0.00083958],[0.78034679]
[421.5599813],[14.44502018],[0.02677328],[0.00071919],[0.7604514]
[364.87504108],[12.8630268],[0.02740152],[0.00075136],[0.80846976]
[341.64596534],[13.26016778],[0.023963],[0.00057442],[0.7244345]
[345.97113551],[12.69223485],[0.02932531],[0.00086074],[0.81493909]
[330.21704136],[12.22424416],[0.03293139],[0.00108535],[0.83513859]
[488.1712058],[15.50636125],[0.0194691],[0.00037915],[0.57775239]
[463.27864522],[15.07788288],[0.02175614],[0.00047414],[0.58412186]
[361.01321518],[13.1471996],[0.02750357],[0.00075724],[0.80983709]
[367.55335779],[13.17796361],[0.02740902],[0.00075153],[0.76607587]
[943.17540396],[20.85994178],[0.01509803],[0.00022807],[0.54181277]
[1055.18031511],[22.0891915],[0.01442191],[0.00020806],[0.52438411]
[828.29577002],[19.36577643],[0.01552588],[0.00024111],[0.58980585]
[787.53473206],[18.40411458],[0.01604251],[0.00025756],[0.62191838]
[921.96857064],[19.96335519],[0.0148653],[0.00022109],[0.5902685]
[1100.10868223],[21.02702294],[0.0154479],[0.00023872],[0.57192107]
[962.86082081],[20.32120248],[0.01565966],[0.00024527],[0.60940556]
[1026.78292038],[21.75027754],[0.01522439],[0.0002319],[0.56788314]
[810.40410818],[19.26352319],[0.01667168],[0.00027798],[0.62996441]
[905.38308933],[20.07189082],[0.01519068],[0.00023094],[0.60256542]
[1018.61582077],[22.28596367],[0.01327219],[0.0001762],[0.55931869]
[1103.90240904],[22.86402971],[0.01330442],[0.0001771],[0.54940125]
[918.76455401],[20.17697499],[0.01465111],[0.00021472],[0.57593578]
[945.71801762],[20.36641005],[0.01451685],[0.00021079],[0.56765784]
[881.51829716],[20.0273674],[0.01448512],[0.00020988],[0.57412038]
[826.27026936],[19.58223557],[0.01575767],[0.00024839],[0.57368308]
[2983.3458028],[41.31355653],[0.01157023],[0.00013965],[0.62026896]
[2350.8782728],[37.15104729],[0.00937403],[8.78906202e-05],[0.57095731]
[2588.0310637],[37.67329332],[0.01398527],[0.00019916],[0.68285859]
[2505.47633413],[38.77938181],[0.00886425],[7.86057162e-05],[0.55732569]
[2576.29061096],[37.64930991],[0.0139157],[0.00019848],[0.66903044]
[2123.6383684],[35.5821192],[0.00908048],[8.24632731e-05],[0.61132636]
[2564.80754969],[38.11238161],[0.0120616],[0.00014944],[0.64470113]
[2541.81224081],[37.54937966],[0.01656688],[0.00028141],[0.6857001]
[2259.73201682],[36.95420926],[0.00919912],[8.46349828e-05],[0.56184448]
[2361.42025301],[36.18706768],[0.01452428],[0.00021939],[0.66136921]
[2124.32926561],[35.20838785],[0.01047028],[0.00010993],[0.63110311]
[2428.97341848],[37.4521646],[0.01005506],[0.00010117],[0.6001789]
[2318.3467515],[37.03292956],[0.00907695],[8.24811389e-05],[0.57596669]
[2336.37515102],[37.36324376],[0.00898244],[8.07150601e-05],[0.57596051]
[2031.85891891],[34.74382817],[0.00936563],[8.78132617e-05],[0.64292923]
[2132.22911041],[35.83926478],[0.00920328],[8.47312717e-05],[0.60496377]
[2349.02388715],[37.40563611],[0.00921797],[8.49908416e-05],[0.56571496]
[1821.76171202],[32.56549005],[0.0121492],[0.00015098],[0.69480318]
[2077.84467543],[34.64184646],[0.00997008],[9.94207566e-05],[0.62392935]
[2392.87349048],[36.42388245],[0.0134047],[0.00018954],[0.64877225]
[2607.61068174],[38.06368132],[0.01255131],[0.00016178],[0.63255067]
[2883.28343063],[40.49090481],[0.01114997],[0.00012896],[0.62289923]
[2769.70262616],[39.59211006],[0.01109869],[0.0001281],[0.64369816]
[2054.89104802],[34.87282765],[0.00924145],[8.54093864e-05],[0.61169709]
[2397.7636816],[36.49043474],[0.01482577],[0.00022341],[0.65613158]
[2665.10324889],[38.01050633],[0.016122],[0.00026554],[0.66659153]
[2452.37181381],[38.06318855],[0.00891921],[7.95615804e-05],[0.56914589]
[2359.88522074],[37.64663138],[0.00873134],[7.62382749e-05],[0.56651014]
[2608.6792412],[39.33035765],[0.00865494],[7.49144229e-05],[0.53945772]
[2843.56614292],[40.31473295],[0.01197364],[0.00015141],[0.63311926]
[2867.40862659],[40.86040611],[0.01169553],[0.00014622],[0.62251407]
[2431.21563016],[37.85555367],[0.00913969],[8.35414846e-05],[0.56703806]
[2270.84216285],[36.76409048],[0.00877977],[7.70908935e-05],[0.5867889]
[2666.00695389],[39.82005142],[0.00865154],[7.48578145e-05],[0.5723554]
[2464.03333958],[38.46964916],[0.0086354],[7.45740214e-05],[0.57852678]
[2016.10866476],[34.59452801],[0.00943142],[8.89530639e-05],[0.60482645]
[1980.84771486],[34.19495912],[0.00928805],[8.62695153e-05],[0.62485371]
[2677.98436335],[38.76747787],[0.01212025],[0.00015237],[0.65519906]
[2261.0280931],[36.99954572],[0.0091491],[8.37634728e-05],[0.58383315]
[2670.58429004],[38.41077962],[0.01298274],[0.00017698],[0.63060718]
[2116.79797802],[34.82564807],[0.01011021],[0.00010259],[0.63382918]
[2150.95516537],[35.14582245],[0.01191241],[0.00014201],[0.63512129]
[2352.30697701],[37.16057442],[0.01120333],[0.00012605],[0.59742145]
[2287.73935785],[37.08482014],[0.00920417],[8.47510239e-05],[0.58265718]
[2413.02928799],[36.03610364],[0.01559702],[0.00025255],[0.66502796]
[2093.05055863],[35.45939226],[0.00947666],[8.98127863e-05],[0.60948765]
[2345.82264399],[37.4035808],[0.00897695],[8.06282094e-05],[0.57314011]
[2233.26208588],[36.26512752],[0.00987086],[9.74822695e-05],[0.59022714]
[2404.02901014],[37.4595208],[0.00988339],[9.78446503e-05],[0.60779141]
[1033.93202227],[23.37471601],[0.01365802],[0.00018659],[0.51321861]
[1211.20545547],[24.76321258],[0.01312889],[0.00017239],[0.51438295]
[1242.41807318],[26.2880351],[0.01125203],[0.00012666],[0.6249193]
[1010.52271937],[23.36317916],[0.01300322],[0.00016912],[0.52586242]
[1190.35434871],[25.70960245],[0.01138837],[0.00012977],[0.63642136]
[1194.45349106],[25.85823942],[0.01117516],[0.00012499],[0.61834942]
[1224.84639392],[26.02244944],[0.01193665],[0.0001426],[0.58315829]
[1079.38126618],[23.77204766],[0.01362251],[0.00018572],[0.53053186]
[1193.77852907],[24.73696615],[0.0120758],[0.00014586],[0.62092968]
[1034.3261756],[23.90260192],[0.01223215],[0.0001498],[0.64596062]
[1046.74278263],[23.62524663],[0.01251678],[0.00015675],[0.59274952]
[1013.63510576],[23.04588846],[0.01425901],[0.00020353],[0.48580965]
[1248.36385811],[25.70930411],[0.01302065],[0.00016962],[0.46373936]
[1200.93581709],[25.07467751],[0.01313339],[0.00017259],[0.4723346]
[1043.83202623],[23.3016214],[0.01354274],[0.00018348],[0.51795769]
[1353.21485081],[26.15818062],[0.02053641],[0.00044215],[0.40072088]
[1348.20457049],[25.94218912],[0.0188064],[0.00035616],[0.36194718]
[1427.19846243],[27.0266825],[0.01607826],[0.00025909],[0.35216856]
[1450.26033721],[27.25987934],[0.01583039],[0.00025106],[0.33358048]
[1192.04891975],[24.94995422],[0.01593057],[0.00025457],[0.43913094]
[1298.12384983],[25.97777135],[0.01583963],[0.00025168],[0.40691012]
[1284.45559038],[25.42026714],[0.01671393],[0.00028035],[0.43111557]
[1407.51451354],[27.04667961],[0.0148707],[0.00022126],[0.37624242]
[1310.90224923],[25.88326491],[0.01619825],[0.00026264],[0.40353085]
[1456.80336428],[27.31258115],[0.01597737],[0.00025554],[0.35324795]
[1317.73064197],[26.4333706],[0.01478051],[0.00021867],[0.37318012]
[1147.99971706],[24.29692438],[0.0167214],[0.00028021],[0.46204666]
[1146.17991779],[24.37402681],[0.01645948],[0.00027143],[0.46079887]
[1120.1795229],[24.14275575],[0.0164906],[0.00027289],[0.47699787]
[1454.84363272],[27.30764191],[0.01554172],[0.00024231],[0.31959041]
[1383.50872565],[26.55587182],[0.01583076],[0.00025168],[0.37130521]
[1368.348917],[26.7095165],[0.01531987],[0.00023487],[0.36358144]
[1431.84228622],[27.4517801],[0.01446872],[0.00020958],[0.36133918]
[1285.9825434],[25.98119474],[0.01493256],[0.00022329],[0.4440684]
[1508.78504523],[27.56687999],[0.01644436],[0.00027183],[0.34876473]
[1505.59357422],[26.87085101],[0.01474079],[0.00021747],[0.33575063]
[1486.72879083],[26.78937361],[0.0144333],[0.00020838],[0.35788184]
[1447.02873177],[26.48425723],[0.01399135],[0.00019583],[0.35290464]
[1011.11024462],[22.36101456],[0.0153583],[0.0002365],[0.40493356]
[1023.92152874],[22.72323852],[0.01467719],[0.00021568],[0.40904962]
[1058.46898038],[22.38051303],[0.01583837],[0.00025139],[0.38042649]
[1108.91227636],[23.70833752],[0.01399198],[0.00019583],[0.36023693]
[1086.6168941],[23.44712468],[0.01402522],[0.00019675],[0.35811452]
[1393.7545301],[26.13648648],[0.01363392],[0.00018609],[0.33626102]
[1381.24839235],[25.59533478],[0.01381275],[0.00019094],[0.32099964]
[1353.25397047],[25.43147418],[0.01367615],[0.0001871],[0.37547093]
[1571.9333622],[26.97550325],[0.0136121],[0.00018538],[0.33059183]
[1458.48684886],[26.96575087],[0.01304319],[0.00017028],[0.3193474]
[1751.42104196],[30.00058213],[0.01145824],[0.0001314],[0.46128334]
[1761.28238634],[30.24730916],[0.01116349],[0.00012474],[0.46938956]
[1802.05437972],[30.27366945],[0.01166328],[0.00013612],[0.38836465]
[1390.08386457],[25.8552941],[0.01398507],[0.00019624],[0.35464529]
[1473.17102795],[27.25946535],[0.01257716],[0.00015848],[0.32775181]
[1287.00908128],[24.66483335],[0.01402318],[0.00019722],[0.42717459]
[1401.02601383],[26.33572959],[0.01394793],[0.00019472],[0.33567728]
[1433.85105141],[26.67701729],[0.01340687],[0.00017999],[0.38034742]
[1441.89383115],[26.72902555],[0.01334712],[0.00017855],[0.35095811]
[1390.45139671],[25.99535821],[0.01385749],[0.00019281],[0.35357069]
[1420.35082829],[26.49697416],[0.01295638],[0.00016819],[0.36775777]
[1361.85226678],[25.91825271],[0.01311767],[0.00017253],[0.39534926]
[1522.30165758],[27.14028031],[0.01362264],[0.00018616],[0.33554231]
[1265.47831721],[24.65524908],[0.01414841],[0.00020068],[0.38448076]
[1378.19124747],[25.90932531],[0.01420138],[0.00020226],[0.32375204]
[1488.38038683],[27.24395578],[0.01254308],[0.00015787],[0.3974495]
[1511.70270965],[27.25175586],[0.01270308],[0.00016183],[0.38571776]
[472.48956442],[12.4491145],[0.03825755],[0.00146563],[0.35826627]
[315.16718914],[10.54522679],[0.04062781],[0.00165276],[0.37543544]
[375.85683874],[11.55942897],[0.03717576],[0.00138627],[0.31553207]
[263.4378631],[10.31326541],[0.04007818],[0.00161031],[0.48494635]
[368.70946653],[11.56151555],[0.04382567],[0.00192193],[0.39821145]
[432.87029838],[11.93590422],[0.04561245],[0.00208338],[0.43898464]
[333.42392358],[10.80852711],[0.03920891],[0.00153985],[0.34315085]
[427.72062535],[12.41287796],[0.03539179],[0.00125283],[0.40641957]
[367.31908955],[11.28308415],[0.03589187],[0.00129016],[0.34650435]
[362.12746902],[11.26299828],[0.0354623],[0.0012579],[0.34517308]
[407.69672752],[12.27450792],[0.03297297],[0.00108848],[0.29303899]
[345.61275652],[11.30743362],[0.03521004],[0.00124085],[0.34554793]
[228.61713509],[9.97264544],[0.03443141],[0.00118697],[0.59827335]
[347.44484453],[11.81835023],[0.03164989],[0.00100259],[0.37578711]
[237.82526691],[10.38664918],[0.03217601],[0.00103611],[0.54590678]
[597.36223313],[14.8911617],[0.02732965],[0.00074697],[0.45812589]
[449.31516329],[12.42647357],[0.02867097],[0.0008232],[0.34565605]
[716.03192897],[16.38577568],[0.0241831],[0.00058518],[0.29186724]
[615.39728762],[15.17094655],[0.02480948],[0.00061573],[0.31413714]
[661.80374985],[16.43294174],[0.02390199],[0.00057219],[0.44932778]
[247.88561743],[9.9060821],[0.03840072],[0.00147485],[0.48567587]
[309.59701664],[10.9606333],[0.03291516],[0.00108483],[0.34799627]
[1716.55528383],[27.9859447],[0.01455915],[0.00021212],[0.21461896]
[1692.00376446],[27.91349825],[0.01310328],[0.00017196],[0.17551571]
[1770.38109639],[28.5583023],[0.0130463],[0.00017045],[0.17529443]
[1540.00787522],[26.93488131],[0.01305929],[0.00017068],[0.23193463]
[1501.60468244],[25.87874373],[0.01377971],[0.00018996],[0.30700879]
[1525.36610083],[27.11029617],[0.01298605],[0.00016875],[0.2237089]
[1194.62912818],[24.39871562],[0.01412568],[0.00019984],[0.23702908]
[1672.59315431],[28.14144828],[0.0124349],[0.00015467],[0.22967188]
[1142.60755395],[23.10866582],[0.01545799],[0.00023941],[0.27153069]
[1197.15793909],[25.15857449],[0.01338869],[0.00017936],[0.30319964]
[1525.32010014],[27.7487582],[0.01315276],[0.00017315],[0.22595084]
[1390.95247212],[26.52436899],[0.0129708],[0.00016839],[0.24945513]
[1286.10483428],[25.31060747],[0.01346501],[0.00018142],[0.26604607]
[942.19843467],[21.15824],[0.01868552],[0.00035099],[0.36812894]
[1164.25640544],[23.61194535],[0.01556282],[0.0002432],[0.30204414]
[1278.45214626],[25.21581097],[0.01336899],[0.00017874],[0.31799333]
[1479.93113144],[26.74138947],[0.01323043],[0.00017506],[0.23630101]
[985.68734482],[22.01415209],[0.01512523],[0.00022879],[0.42767189]
[1074.21253616],[23.48446572],[0.01333094],[0.00017775],[0.31742821]
[768.58353689],[19.32312087],[0.01795732],[0.00032474],[0.52193952]
[1163.46912756],[22.83066754],[0.0130332],[0.00017],[0.42987055]
[1002.09657635],[21.07741547],[0.013296],[0.00017705],[0.50367643]
[689.17815674],[18.86238458],[0.01452234],[0.00021121],[0.60139407]
[693.41373169],[18.85701056],[0.01436131],[0.00020653],[0.60745016]
[1298.58030158],[23.10149372],[0.01331823],[0.00017763],[0.39139977]
[902.95412051],[19.88546818],[0.01502544],[0.0002261],[0.47850441]
[895.00602829],[20.56993112],[0.01444772],[0.00020908],[0.47887556]
[791.42577568],[20.74677872],[0.01404485],[0.00019773],[0.53853115]
[747.33527806],[20.29320586],[0.01414533],[0.00020055],[0.55662182]
[980.61528445],[21.15812223],[0.01883439],[0.00035899],[0.43857529]
[1453.80762746],[24.57498952],[0.01486871],[0.00022496],[0.30653034]
[1291.58572883],[22.93368722],[0.01426454],[0.00020356],[0.35959574]
[1453.46213758],[24.21204751],[0.01344814],[0.00018104],[0.32152848]
[879.09006093],[20.18386878],[0.01522556],[0.00023205],[0.47521507]
[918.31848407],[20.39421486],[0.01516178],[0.00023013],[0.45079693]
[1491.91869873],[24.25308259],[0.01349994],[0.00018253],[0.2971963]
[1479.99531628],[24.06074778],[0.01387531],[0.00019267],[0.29725259]
[925.42849477],[19.27199397],[0.01561537],[0.00024389],[0.52310908]
[1954.67915423],[26.52464669],[0.01309245],[0.00017166],[0.31967427]
[1513.44817092],[24.84280303],[0.01375712],[0.00018975],[0.30694553]
[1033.75683289],[21.5050375],[0.01503453],[0.00022626],[0.42037341]
[975.35799507],[20.87752492],[0.01557707],[0.00024302],[0.44872007]
[1436.45715639],[24.3155928],[0.01365763],[0.00018692],[0.33267348]
[1326.7533913],[23.55587941],[0.01338847],[0.00017946],[0.37071195]
[1174.03996501],[21.98049768],[0.0140388],[0.00019728],[0.40145933]
[859.61085316],[19.92042781],[0.01450206],[0.00021057],[0.46723374]
[709.65720235],[19.91803529],[0.01375598],[0.0001895],[0.57723184]
[689.02130991],[19.60976068],[0.01420636],[0.00020235],[0.58365641]
[937.82450801],[21.65393718],[0.013638],[0.00018636],[0.44073593]
[969.58669475],[20.80104418],[0.01683672],[0.00028411],[0.47440045]
[894.65318123],[20.95955877],[0.01551437],[0.00024125],[0.48942873]
[849.85554326],[20.25527647],[0.01597099],[0.00025638],[0.47579468]
[895.83645831],[20.98388159],[0.01572024],[0.00024825],[0.4393402]
[858.46590657],[20.47846097],[0.01598534],[0.00025644],[0.45731637]
[903.62010277],[20.81943019],[0.01513039],[0.00022993],[0.46892676]
[585.64142497],[17.80284087],[0.01543248],[0.00023844],[0.47430625]
[884.44753777],[20.3299479],[0.01617722],[0.00026358],[0.45233244]
[905.00027315],[21.08213211],[0.01481395],[0.00022022],[0.44732349]
[545.57180726],[17.49689201],[0.01533812],[0.00023564],[0.55033613]
[513.62462872],[17.06746382],[0.0163303],[0.00026717],[0.54991282]
[1336.40092387],[24.19821099],[0.01591839],[0.00025772],[0.62627817]
[1434.2938064],[25.54016674],[0.01452794],[0.000214],[0.60411051]
[999.61937073],[22.08052615],[0.01500234],[0.00022563],[0.56321229]
[1012.2929505],[22.16229701],[0.01619342],[0.00026492],[0.65704422]
[1134.6850411],[23.23851095],[0.01605226],[0.00026361],[0.54828062]
[1335.30097787],[23.70816167],[0.01879894],[0.00035548],[0.60191505]
[1241.36300857],[23.08018837],[0.01699455],[0.00029167],[0.6388585]
[1396.74265361],[25.89907547],[0.01566255],[0.00024625],[0.57412615]
[1168.52557665],[23.40392377],[0.0151239],[0.00022931],[0.60675196]
[1439.84490568],[26.14080442],[0.01411805],[0.00020091],[0.59474363]
[1352.26171649],[25.1929143],[0.01452363],[0.00021537],[0.53826272]
[1157.5146894],[22.85288294],[0.01532659],[0.00023696],[0.66904445]
[1196.75359917],[22.87821725],[0.01513185],[0.00023083],[0.66182946]
[1182.83759201],[23.08355229],[0.01544017],[0.00024064],[0.55304242]
