Contrast,Dissimilarity,Energy,ASM,Correlation,Deepfake
[1353.97868836],[26.47797511],[0.01190062],[0.00014167],[0.44838026],0
[1402.35064584],[26.71936592],[0.01252326],[0.00015695],[0.52553178],0
[1583.11365558],[28.61289887],[0.01299117],[0.00016907],[0.5084139],0
[1664.46725338],[29.48556087],[0.01230193],[0.00015218],[0.49944489],0
[1590.85241585],[27.8909382],[0.01234706],[0.00015281],[0.68257046],0
[1119.22518083],[23.90365559],[0.01262838],[0.00015952],[0.67713],0
[1440.18572858],[26.7372841],[0.01251525],[0.00015676],[0.60058098],0
[1616.2198099],[29.07819682],[0.01142649],[0.00013062],[0.48831792],0
[1610.69907352],[29.18729244],[0.0117176],[0.00013738],[0.50344772],0
[1597.18804505],[29.08337563],[0.01156975],[0.0001339],[0.49139466],0
[1639.94139125],[29.07461829],[0.01204319],[0.00014512],[0.45381501],0
[1686.05053773],[29.9480874],[0.01139379],[0.00012986],[0.47581769],0
[1656.78730028],[29.33364929],[0.01176992],[0.00013888],[0.52708052],0
[1536.26792248],[26.56011689],[0.01539269],[0.00023725],[0.55199829],0
[2148.5418443],[34.57455692],[0.00946647],[8.9655809e-05],[0.56701431],0
[1130.80823921],[23.95841303],[0.01231892],[0.00015179],[0.65114521],0
[1662.21862169],[30.12599735],[0.01018715],[0.00010383],[0.66386735],0
[1971.002768],[32.08233804],[0.01049607],[0.00011021],[0.62372197],0
[2562.66274956],[37.80319037],[0.00895597],[8.02314491e-05],[0.55554148],0
[2567.8140294],[38.54379654],[0.00892248],[7.9663737e-05],[0.48179434],0
[2862.69301852],[40.49441678],[0.00886483],[7.8608455e-05],[0.4285361],0
[1953.76058294],[32.49851028],[0.0099372],[9.87751357e-05],[0.55921384],0
[2012.36620804],[33.05454723],[0.00976324],[9.53691643e-05],[0.59119795],0
[2507.15462333],[36.81261334],[0.00977549],[9.56723515e-05],[0.55629905],0
[2441.56032692],[36.381606],[0.00972424],[9.46159976e-05],[0.55518718],0
[1920.15267407],[31.52301248],[0.01097009],[0.00012048],[0.63240398],0
[1342.65114441],[25.67438728],[0.01218558],[0.00014855],[0.6225922],0
[2056.14733226],[33.04513004],[0.00973012],[9.47486918e-05],[0.63924557],0
[1992.93117346],[32.33546646],[0.01030215],[0.00010616],[0.62295074],0
[2633.07566669],[38.16867827],[0.00975327],[9.51793864e-05],[0.53507656],0
[2545.62709636],[37.71305063],[0.00934946],[8.7438664e-05],[0.50786521],0
[2899.1347102],[40.77042972],[0.00924424],[8.5526041e-05],[0.49734268],0
[2268.80770345],[35.35389298],[0.00968458],[9.38360977e-05],[0.56367644],0
[2107.679221],[34.00407483],[0.00972545],[9.4630047e-05],[0.59708169],0
[2430.34768199],[36.71747069],[0.00932669],[8.70075048e-05],[0.58332175],0
[2205.23914753],[34.88002072],[0.00974198],[9.49434548e-05],[0.59780233],0
[2297.76832717],[35.84772478],[0.00947908],[8.98841101e-05],[0.58254574],0
[1286.13185234],[25.08323869],[0.01238206],[0.00015338],[0.62510705],0
[2080.34993196],[33.28047489],[0.0101765],[0.00010371],[0.61607076],0
[1833.42946175],[31.59119879],[0.00965046],[9.31643445e-05],[0.65537629],0
[1902.38709151],[31.79084034],[0.01002702],[0.0001006],[0.64566766],0
[1963.49972037],[32.44998959],[0.01035521],[0.00010752],[0.70098699],0
[2028.90954481],[32.89604008],[0.01001229],[0.00010031],[0.62822562],0
[2150.86077457],[34.18610006],[0.0096001],[9.22298662e-05],[0.59648615],0
[2003.49331597],[31.8483937],[0.01038588],[0.00010792],[0.67363064],0
[1863.90768157],[31.39404421],[0.01007539],[0.00010161],[0.68295771],0
[1894.89940001],[31.78906697],[0.01003578],[0.00010079],[0.67909977],0
[2538.92210674],[37.77441793],[0.00968935],[9.39285791e-05],[0.55617907],0
[1339.75283438],[25.73913047],[0.01233471],[0.00015218],[0.60431821],0
[2235.0525049],[33.94688197],[0.01085214],[0.00011787],[0.54536368],0
[1971.19242195],[31.89163818],[0.01058887],[0.00011216],[0.64804836],0
[2195.73234957],[34.79663174],[0.00957679],[9.17676673e-05],[0.58638492],0
[2534.97263499],[37.78361218],[0.00938154],[8.80490769e-05],[0.54692837],0
[1996.17111028],[32.83206866],[0.0099719],[9.95260252e-05],[0.58803128],0
[2490.20020005],[36.32826642],[0.00980399],[9.61216082e-05],[0.62024279],0
[2302.3229182],[35.19434232],[0.0092166],[8.49576e-05],[0.56711678],0
[1454.86202521],[24.62781307],[0.01875747],[0.00035338],[0.3498345],0
[1909.34683508],[29.41521082],[0.01444481],[0.00020878],[0.49398111],0
[1948.17410916],[29.87588853],[0.01369056],[0.00018753],[0.50269119],0
[1303.79809592],[25.5560017],[0.01244301],[0.00015488],[0.59688511],0
[1411.28968133],[25.9929913],[0.01262439],[0.00015959],[0.47469121],0
[1179.37261483],[21.53088591],[0.01394225],[0.00019521],[0.79088782],0
[1947.04616251],[29.89768144],[0.01382288],[0.00019123],[0.49617356],0
[1893.80601186],[29.50550566],[0.01386803],[0.00019235],[0.49955588],0
[1788.87482955],[28.84060746],[0.01374441],[0.00018892],[0.49857607],0
[1459.78993649],[25.60542243],[0.01488341],[0.00022157],[0.47771318],0
[1919.67684525],[29.7155816],[0.01255815],[0.00015778],[0.45494469],0
[1895.96890237],[29.18455563],[0.01257771],[0.00015824],[0.49028635],0
[1423.85306833],[24.05437929],[0.0153198],[0.00023481],[0.37378488],0
[1840.90254991],[29.20208797],[0.01312367],[0.00017233],[0.52083801],0
[1337.03846278],[25.21104715],[0.01393573],[0.00019426],[0.60724616],0
[1279.96422246],[24.32060865],[0.0154559],[0.00023912],[0.61702185],0
[1292.91450199],[25.3397187],[0.01239472],[0.00015367],[0.60674661],0
[1524.81648791],[26.66207617],[0.01462409],[0.00021389],[0.55008737],0
[1079.27102868],[22.98685642],[0.01427891],[0.00020392],[0.67005884],0
[1238.14932128],[24.38318457],[0.01467791],[0.00021552],[0.61340199],0
[1186.75646735],[23.41601833],[0.01578909],[0.00024993],[0.63826498],0
[848.13448832],[19.63705533],[0.01862555],[0.00034899],[0.70663238],0
[1061.23287994],[22.69178777],[0.01763759],[0.00031421],[0.69243326],0
[1154.08775373],[22.5797211],[0.01934172],[0.00037472],[0.74964299],0
[763.73041035],[18.49239223],[0.03348843],[0.00113406],[0.70831048],0
[1236.41169671],[23.13699274],[0.02063229],[0.00042942],[0.70060841],0
[678.57361635],[17.15792417],[0.02353137],[0.00056719],[0.65119549],0
[1123.13948],[24.0836321],[0.01223755],[0.00014976],[0.65531125],0
[1672.5476236],[27.74775919],[0.01204711],[0.00014516],[0.57598921],0
[1112.73116314],[22.46142518],[0.01317144],[0.00017375],[0.59261013],0
[1835.95714144],[27.69229958],[0.01495246],[0.00022541],[0.50495707],0
[2072.00498168],[29.98893023],[0.01281385],[0.00016428],[0.52760663],0
[1484.68305579],[23.32218023],[0.01625577],[0.00026431],[0.56258913],0
[1914.86713332],[29.76666603],[0.01236674],[0.00015298],[0.56130156],0
[1757.35666932],[28.14840819],[0.01370019],[0.00018776],[0.51587643],0
[1785.82372912],[27.64092537],[0.01419618],[0.00020169],[0.51543422],0
[1591.88054082],[26.78655969],[0.01641211],[0.00026959],[0.49350103],0
[1581.83103985],[26.64483115],[0.01468957],[0.00021594],[0.55721255],0
[1127.07762048],[24.05926299],[0.01279355],[0.0001637],[0.67144531],0
[1502.5967352],[26.68118951],[0.01370719],[0.00018799],[0.50628654],0
[1455.37031906],[25.44747138],[0.01412017],[0.00019973],[0.56579236],0
[1201.29454545],[23.36389941],[0.02210456],[0.0004945],[0.61880464],0
[1598.43749261],[26.87551034],[0.01279487],[0.00016372],[0.5954654],0
[1326.24461467],[23.85957448],[0.01644392],[0.00027062],[0.50826678],0
[1398.84868639],[25.77031017],[0.01366209],[0.00018667],[0.60078288],0
[1625.9825295],[27.57544575],[0.01387437],[0.00019252],[0.56381828],0
[1427.93824926],[24.54503637],[0.01879556],[0.00035415],[0.30881364],0
[1772.00641611],[27.42212745],[0.01538316],[0.00023678],[0.31688706],0
[1960.55948112],[30.53465755],[0.01385797],[0.0001921],[0.49322942],0
[1211.14949938],[24.67507781],[0.01245566],[0.00015519],[0.63152611],0
[1289.08315599],[24.52402576],[0.01548541],[0.00023981],[0.36447139],0
[1273.7397415],[24.6053245],[0.01487436],[0.00022125],[0.39982419],0
[1722.36041482],[28.53779794],[0.01451578],[0.00021135],[0.52072869],0
[1640.20258049],[27.57322034],[0.01540394],[0.00023835],[0.55002998],0
[1995.60440527],[30.39466293],[0.01378106],[0.00019007],[0.44678413],0
[2078.41020892],[26.8313335],[0.01623618],[0.00026442],[0.51288007],0
[2140.01061279],[28.01012903],[0.01525869],[0.00023409],[0.49162043],0
[1938.06031511],[28.31410825],[0.01323987],[0.00017542],[0.47092087],0
[1809.62533895],[25.3603044],[0.02330143],[0.00056045],[0.5975595],0
[2140.29879313],[26.25370096],[0.02277492],[0.00052583],[0.58245501],0
[1267.7283626],[25.37949306],[0.01239151],[0.00015359],[0.61367735],0
[1795.50054782],[24.32349353],[0.03217805],[0.00107379],[0.66178474],0
[1441.01855176],[21.1098583],[0.04549983],[0.00212418],[0.73138269],0
[1560.98895404],[22.12851931],[0.02768598],[0.00077854],[0.61237614],0
[1677.76892511],[22.54938981],[0.03327345],[0.00113048],[0.67070876],0
[1810.70917136],[24.38402664],[0.03088074],[0.0009831],[0.63228911],0
[1371.50219225],[20.96902716],[0.03334682],[0.00114131],[0.71773517],0
[1443.11420608],[23.10753499],[0.01705732],[0.00029242],[0.52593455],0
[1289.81500471],[22.59389788],[0.01493284],[0.00022317],[0.58802931],0
[1337.60294718],[19.31452775],[0.04709152],[0.00227829],[0.76847531],0
[1764.03692646],[23.9447608],[0.02307637],[0.00056143],[0.61402271],0
[1170.77192657],[24.47883723],[0.01283293],[0.0001647],[0.6210721],0
[1644.19949485],[22.70621427],[0.03416996],[0.00124963],[0.68970648],0
[1373.97343314],[20.43699912],[0.03213078],[0.00106466],[0.72846785],0
[1571.7858304],[21.04884534],[0.05108651],[0.00265041],[0.7518824],0
[1437.34030852],[24.88527599],[0.01407361],[0.00019873],[0.54792305],0
[1467.48611372],[24.19916237],[0.01406326],[0.00019797],[0.54413089],0
[1786.89848463],[23.87741599],[0.03881256],[0.00161249],[0.65832916],0
[1838.9392846],[23.53390986],[0.03844838],[0.0015575],[0.65289171],0
[1707.46782666],[24.64283358],[0.03136832],[0.00106856],[0.64549011],0
[1512.89801568],[24.88568037],[0.01495888],[0.00022641],[0.57767622],0
[1912.88556247],[24.7346377],[0.02821174],[0.00085021],[0.62794107],0
[1203.48304136],[24.55402084],[0.01284311],[0.00016498],[0.60967448],0
[1722.58241478],[23.99330037],[0.02810668],[0.00081204],[0.64665294],0
[1660.04224903],[23.35999784],[0.02870117],[0.00084203],[0.66310248],0
[2014.73955986],[25.54681721],[0.02679139],[0.00073023],[0.63552681],0
[2165.81297674],[27.14847667],[0.02144785],[0.00046566],[0.54378599],0
[2152.3583989],[27.41451182],[0.01761023],[0.00031141],[0.49462069],0
[1704.77915162],[24.32305618],[0.02645169],[0.00072225],[0.64329195],0
[1868.0727842],[26.228967],[0.01745065],[0.00030911],[0.54739511],0
[1586.65504412],[23.78201232],[0.02283192],[0.00053918],[0.64829606],0
[1766.87836784],[24.68261548],[0.0269361],[0.00072657],[0.620252],0
[1294.99502461],[25.31029918],[0.01284878],[0.0001651],[0.61454317],0
[354.01748159],[13.57587593],[0.01869554],[0.00034955],[0.67437374],0
[670.63082483],[17.33452356],[0.022166],[0.00049142],[0.38427516],0
[675.57127308],[17.98651892],[0.0196228],[0.00038513],[0.45848706],0
[728.00016218],[18.54265837],[0.01933619],[0.00037396],[0.49833764],0
[764.05129768],[18.83466456],[0.0188529],[0.00035546],[0.45089375],0
[773.14921463],[18.68651906],[0.02129194],[0.0004534],[0.47878028],0
[1200.45054898],[24.3074613],[0.0128821],[0.00016599],[0.6341611],0
[756.44459771],[18.56356544],[0.0208136],[0.00043325],[0.46869868],0
[661.77894469],[17.65228051],[0.02072365],[0.00042956],[0.45819439],0
[734.18754955],[18.56536406],[0.02004487],[0.00040182],[0.44603744],0
[749.40018133],[18.58877248],[0.02024221],[0.00040979],[0.43727978],0
[616.24139985],[17.02115282],[0.02177833],[0.00047437],[0.46067902],0
[609.23649556],[16.82617813],[0.02191292],[0.00048028],[0.46786062],0
[623.12345981],[16.93398383],[0.02195571],[0.00048206],[0.47131286],0
[530.40325093],[15.44188366],[0.02326651],[0.00054194],[0.54268746],0
[518.02314494],[14.78140184],[0.01905843],[0.00036488],[0.85072375],0
[635.21661867],[16.29387749],[0.0194612],[0.00038059],[0.84705918],0
[1214.77790607],[24.86165879],[0.01200007],[0.00014406],[0.61502906],0
[1889.19276849],[29.80150176],[0.01176882],[0.00013909],[0.45800292],0
[1351.95941388],[24.08523981],[0.01318742],[0.00017498],[0.75432296],0
[1020.57106579],[19.5897856],[0.02136248],[0.00045669],[0.8526479],0
[919.15402753],[18.92683526],[0.01911013],[0.00036551],[0.84255921],0
[902.20003827],[18.80873921],[0.01798417],[0.00032407],[0.84759212],0
[847.80640539],[17.91286297],[0.01893059],[0.0003586],[0.8310517],0
[652.71516581],[15.97841249],[0.02080075],[0.00043717],[0.86819017],0
[795.04912941],[17.93826376],[0.01664631],[0.0002774],[0.84506689],0
[933.89448503],[19.09039085],[0.01857516],[0.00034532],[0.85185168],0
[705.91017832],[17.37248908],[0.01838616],[0.00033857],[0.79493851],0
[866.81751042],[21.18273697],[0.01341787],[0.00018019],[0.63607905],0
[854.09403235],[19.13271728],[0.01586634],[0.000252],[0.83359577],0
[832.39733646],[18.98529922],[0.01549892],[0.00024026],[0.82884011],0
[623.08003929],[15.82907957],[0.01983587],[0.00039415],[0.85950572],0
[930.56609025],[19.24228674],[0.01842691],[0.00033966],[0.82196443],0
[630.29627422],[15.79331254],[0.01850014],[0.00034328],[0.8723102],0
[576.19792969],[15.2011128],[0.01961006],[0.00038475],[0.81220933],0
[829.20247661],[18.02776902],[0.01790721],[0.00032139],[0.83832188],0
[571.30891189],[14.49191854],[0.02154992],[0.00046539],[0.79766283],0
[1172.52847074],[23.19286556],[0.01267656],[0.00016084],[0.68632358],0
[594.14870893],[15.91720247],[0.01795849],[0.00032347],[0.86108613],0
[706.12790764],[16.91904118],[0.01901804],[0.00036354],[0.85163345],0
[642.20433701],[16.58070777],[0.01680975],[0.00028274],[0.83325931],0
[656.61164809],[16.12410759],[0.01761507],[0.00031054],[0.8395674],0
[641.89717447],[16.19265221],[0.01794135],[0.0003219],[0.80786636],0
[597.05405969],[15.21366259],[0.01909466],[0.00036491],[0.87054618],0
[615.75066749],[15.06794814],[0.01972607],[0.00038923],[0.85936554],0
[690.18325588],[16.3079723],[0.01961166],[0.00038608],[0.86252576],0
[578.03186076],[15.48870598],[0.01953361],[0.00038212],[0.84837134],0
[616.44217103],[15.36327255],[0.01962184],[0.0003852],[0.84387733],0
[733.77685722],[17.55552003],[0.01725454],[0.00029787],[0.81125052],0
[696.41347213],[16.54682984],[0.02051161],[0.00042185],[0.7936227],0
[1342.62065785],[23.97669181],[0.01528711],[0.00023385],[0.45114503],0
[602.06624884],[15.36355025],[0.02007766],[0.00040364],[0.85057129],0
[680.55121094],[16.69359169],[0.01769384],[0.00031365],[0.85695021],0
[2145.38853265],[33.34556335],[0.012428],[0.00015696],[0.69013337],0
[2367.05523769],[35.28412523],[0.01222226],[0.00015144],[0.66267015],0
[1841.03877722],[31.73054195],[0.01019877],[0.00010404],[0.53421847],0
[2121.14363681],[33.75459221],[0.01247203],[0.00015947],[0.65764357],0
[1572.1216806],[25.76829896],[0.01364339],[0.00018673],[0.51385364],0
[2124.56211811],[34.26381411],[0.01332919],[0.0001827],[0.66767477],0
[2463.85156336],[36.17061967],[0.01133667],[0.00013057],[0.63477551],0
[2554.98024706],[36.77350314],[0.01456254],[0.00021573],[0.6171596],0
[1854.3166711],[30.88442643],[0.01279801],[0.0001642],[0.73125218],0
[2376.22206675],[35.59108121],[0.01363266],[0.00018758],[0.6273976],0
[2135.32120556],[33.44352932],[0.01190932],[0.0001433],[0.6876375],0
[2024.76394405],[32.28290141],[0.01388572],[0.00019758],[0.69558729],0
[2551.42572344],[36.07411317],[0.01460245],[0.00021484],[0.62786822],0
[2031.63303923],[32.22967508],[0.01289332],[0.00016756],[0.70588997],0
[2149.32518993],[34.26603484],[0.01264954],[0.00016289],[0.67344729],0
[1283.91642324],[24.20965799],[0.01476063],[0.00021834],[0.57000774],0
[2195.1097297],[34.23758061],[0.01314654],[0.00017542],[0.67137146],0
[2333.55625212],[35.49537677],[0.01177112],[0.00014058],[0.65296053],0
[2095.22390349],[33.44851791],[0.01191894],[0.00014259],[0.67188446],0
[2011.46636984],[32.87422043],[0.01543478],[0.00024309],[0.66393296],0
[1974.3189087],[32.06354892],[0.01604791],[0.00026099],[0.68675874],0
[2313.21257617],[34.93609897],[0.0107858],[0.00011706],[0.67087505],0
[2238.37232087],[34.48481188],[0.0131284],[0.00017425],[0.67447083],0
[2068.58720714],[32.88022458],[0.01315684],[0.00017588],[0.69561358],0
[2394.94825825],[35.64119531],[0.0107208],[0.00011549],[0.66127335],0
[2238.16399199],[34.38485806],[0.01117337],[0.00012615],[0.64849883],0
[1188.03730361],[21.80393064],[0.01514056],[0.00022941],[0.5987512],0
[1823.64745763],[32.01511964],[0.0100385],[0.00010084],[0.56684036],0
[1890.97595854],[31.94341286],[0.01106754],[0.0001232],[0.66407483],0
[2044.94275834],[32.98228905],[0.01361087],[0.00019033],[0.69584045],0
[1854.16573666],[30.87969163],[0.01523589],[0.00023527],[0.71375602],0
[2066.34353643],[33.66499527],[0.01204709],[0.00014874],[0.67958192],0
[2290.04890955],[33.66255518],[0.01450332],[0.00021299],[0.66139065],0
[2441.77731484],[36.07591935],[0.01246116],[0.00015833],[0.63873013],0
[2140.89077897],[33.66268017],[0.01345063],[0.00018277],[0.65529121],0
[1941.09141516],[32.24125459],[0.01561082],[0.00025221],[0.66523143],0
[2329.81190608],[34.9868034],[0.01217156],[0.00015152],[0.62564425],0
[1475.14156702],[25.01389375],[0.0133829],[0.00017939],[0.51735992],0
[1856.13454566],[30.47209477],[0.01207187],[0.00014581],[0.71247795],0
[2266.14028846],[33.77865847],[0.01116652],[0.00012489],[0.63464982],0
[2406.62759816],[34.86288039],[0.01041274],[0.00010853],[0.63868816],0
[2336.8357977],[35.02549609],[0.01054899],[0.00011139],[0.57132058],0
[1918.78381946],[30.92653698],[0.01272693],[0.00016199],[0.61360149],0
[2119.91945566],[32.58373179],[0.01191636],[0.00014215],[0.61437244],0
[2310.82961838],[34.84797671],[0.01063895],[0.00011334],[0.59918476],0
[2043.16727503],[33.02818038],[0.01010196],[0.00010216],[0.64401447],0
[1758.91912929],[30.89913916],[0.01086516],[0.00011817],[0.62116357],0
[2155.6223117],[33.53894507],[0.01153399],[0.0001337],[0.62097423],0
[1756.34024163],[27.35187071],[0.01315927],[0.00017347],[0.4625749],0
[1702.91634842],[28.923359],[0.01740038],[0.0003042],[0.66717086],0
[1782.00096433],[30.23285712],[0.01372029],[0.00018896],[0.62554433],0
[1627.50226281],[28.27406313],[0.01406052],[0.00019901],[0.70862842],0
[1738.86189659],[28.75363377],[0.01251839],[0.0001568],[0.7271936],0
[1868.60468483],[30.6961298],[0.01266568],[0.00016058],[0.67385785],0
[2907.63929073],[37.91705147],[0.012007],[0.00014475],[0.6153925],0
[2263.03982094],[33.35951229],[0.01181208],[0.00013954],[0.73989688],0
[2443.31221223],[33.41352846],[0.01365993],[0.00018689],[0.72067639],0
[1999.7220111],[30.59930528],[0.01202778],[0.00014478],[0.7588168],0
[2050.63426904],[30.46545457],[0.01665033],[0.00027772],[0.70015538],0
[1215.5423195],[23.9761314],[0.01382792],[0.00019162],[0.48449843],0
[1522.36494015],[25.66662758],[0.01306913],[0.00017236],[0.75900129],0
[1442.85538207],[26.19828349],[0.0117226],[0.00013753],[0.583118],0
[2676.74118095],[37.06942388],[0.01026294],[0.00010541],[0.61225881],0
[1936.88869158],[31.85770244],[0.01083279],[0.00011749],[0.63157824],0
[2399.13301125],[36.07284641],[0.00970241],[9.41799219e-05],[0.57629506],0
[1922.14156708],[32.04450855],[0.01046053],[0.00010948],[0.61482889],0
[1958.80754147],[32.57821596],[0.01041695],[0.00010858],[0.61212935],0
[2272.57500869],[35.34730535],[0.01013121],[0.00010274],[0.56330228],0
[1372.79615747],[26.84536774],[0.01298635],[0.00016883],[0.65116425],0
[1758.15679061],[30.90810045],[0.0111058],[0.00012345],[0.60624841],0
[1683.08482225],[29.93948473],[0.01179802],[0.00013944],[0.64978558],0
[1677.66285565],[29.22824576],[0.01210234],[0.00014657],[0.64916752],0
[1332.50515316],[23.71911296],[0.01378905],[0.00019046],[0.53913104],0
[1621.70211818],[28.70921901],[0.01130726],[0.00012792],[0.68675873],0
[1924.95052797],[31.48405525],[0.01043328],[0.00010889],[0.67571778],0
[2120.8154597],[33.22588333],[0.01055795],[0.0001115],[0.62979989],0
[1468.81995953],[26.79875198],[0.01247085],[0.00015579],[0.7141805],0
[1687.51580768],[29.08888544],[0.0132795],[0.0001768],[0.64573274],0
[1345.23520757],[25.92410655],[0.01339174],[0.00017939],[0.46210245],0
[1063.24124522],[19.61477511],[0.01694478],[0.00028815],[0.75220165],0
[1024.27273602],[22.78262921],[0.01636123],[0.00026785],[0.44031214],0
[1378.7772411],[27.18992513],[0.01334677],[0.00018063],[0.51094606],0
[832.91893538],[20.47098466],[0.01571413],[0.00024711],[0.53812368],0
[908.94277788],[20.9796184],[0.01604827],[0.00025773],[0.42728921],0
[1629.99028606],[24.40056777],[0.01713599],[0.00029441],[0.58692864],0
[1049.95141565],[21.32896867],[0.01715791],[0.00029454],[0.36598388],0
[1817.91569328],[27.02448741],[0.01624164],[0.00026624],[0.60227301],0
[1644.98479485],[27.43068532],[0.01271479],[0.00016185],[0.44172504],0
[932.07141785],[20.72306735],[0.01702133],[0.00028979],[0.33386389],0
[1641.45618262],[26.0751365],[0.01466019],[0.00021679],[0.59634014],0
[837.39588614],[19.73710494],[0.01678179],[0.00028181],[0.37918904],0
[957.47046926],[22.32063408],[0.01607537],[0.0002587],[0.44967996],0
[1208.03657416],[20.95449009],[0.02040489],[0.00041674],[0.75732632],0
[1035.18001399],[22.96116141],[0.01586242],[0.00025249],[0.47653357],0
[1882.58968258],[27.43609699],[0.01474066],[0.00021766],[0.56824253],0
[961.18215373],[22.67237912],[0.01582179],[0.00025145],[0.50102199],0
[1031.45632227],[19.29066356],[0.02660386],[0.000711],[0.74980577],0
[1028.07661739],[22.62647176],[0.01648601],[0.00027268],[0.43414277],0
[1156.23675903],[20.56606421],[0.02158428],[0.00046996],[0.73505443],0
[988.18905895],[22.22324742],[0.01612075],[0.0002602],[0.42358265],0
[1119.82076669],[20.90562559],[0.01637531],[0.00026902],[0.77957538],0
[996.77514623],[22.01400712],[0.01558643],[0.00024316],[0.38378487],0
[1119.58907066],[20.61679976],[0.01754099],[0.00030879],[0.75948162],0
[954.56590836],[21.56022974],[0.01618509],[0.00026211],[0.37153907],0
[798.25635533],[17.37308308],[0.01754591],[0.00030838],[0.82001614],0
